,"Bologna Graziella","Amministratore e Componente del Comitato Esecutivo"
,"Finocchi Mahne Cristina",Amministratore
,"Dubini Nicolo'",Amministratore
,"Gavazzi Agostino","Amministratore e Componente del Comitato Esecutivo"
,"Pellicano' Gerolamo",Amministratore
"BANCO DI SARDEGNA SPA ","Arru Antonio Angelo",Presidente
,"Cicognani Giulio","Vice Presidente"
,"Cuccurese Giuseppe","Amministratore e Componente del Comitato Esecutivo"
,"Nieddu Lavinia","Amministratore e Componente del Comitato Esecutivo"
,"Mariotti Gavino",Amministratore
,"Ferri Viviana",Amministratore
,"Orlandini Grazia","Amministratore e Componente del Comitato Esecutivo"
,"Gigli Sabrina",Amministratore
,"Garavini Eugenio","Amministratore e Componente del Comitato Esecutivo"
,"Rinaldi Paolo",Amministratore
,"Stevens Venceslao",Amministratore
,"Petitto Daniela",Amministratore
,"Marri Alberto","Amministratore e Componente del Comitato Esecutivo"
"BASIC NET SPA ","Boglione Marco Daniele","Presidente e Amministratore Delegato"
,"Ovazza Daniela","Vice Presidente"
,"Trono Federico","Amministratore Delegato"
,"Corghi Elisa",Amministratore
,"Marconetto Adriano",Amministratore
,"Bruschi Paola",Amministratore
,"Pavesio Carlo",Amministratore
,"Jorio Alessandro",Amministratore
,"Hendlmeier Renate Marianne",Amministratore
,"Fiorio Cristiano",Amministratore
,"Boglione Lorenzo",Amministratore
,"Bouckaert Veerle Annie Rosa",Amministratore
,"Genovese Francesco",Amministratore
,"Boglione Alessandro",Amministratore
"BASTOGI SPA ","Cabassi Marco Roberto",Presidente
,"Raschi Andrea","Amministratore Delegato"
,"Gomez Tafalla Rebeca",Amministratore
,"Marchesoni Maria Adelaide",Amministratore
,"Ferrari Giulio Davide Giorgio",Amministratore
,"Silva Fabio",Amministratore
,"Barbè Sara Maria",Amministratore
"B&C SPEAKERS SPA ","Luzi Gianni",Presidente
,"Coppini Lorenzo","Amministratore Delegato"
,"Mantoan Patrizia",Amministratore
,"Spapperi Francesco",Amministratore
,"Cappiello Raffaele",Amministratore
,"Pratesi Simone",Amministratore
,"Pancani Alessandro",Amministratore
,"Pecci Roberta",Amministratore
,"Egidi Gabriella",Amministratore
"BEGHELLI SPA ","Beghelli Gian Pietro","Presidente e Amministratore Delegato"
,"Settepani Gianluca",Amministratore
,"Pedrazzi Fabio",Amministratore
,"Caselli Paolo",Amministratore
,"Beghelli Maurizio",Amministratore
,"Cariani Maria Teresa",Amministratore
,"Durand Giuliana Maria Rachele",Amministratore
,"Beghelli Luca",Amministratore
,"Beghelli Graziano",Amministratore
,"Martone Raffaella",Amministratore
,"Pecci Giovanni",Amministratore
,"Maccaferri Dania",Amministratore
"BE THINK, SOLVE, EXECUTE SPA ","Achermann Carlo",Presidente
,"Achermann Stefano","Amministratore Delegato"
,"Calabi Claudio Roberto",Amministratore
,"Lambiase Anna",Amministratore
,"Ferrari Gianluca Antonio",Amministratore
,"Tagliavini Paola Annunziata",Amministratore
,"Berretti Claudio",Amministratore
,"Dattoli Davide",Amministratore
,"Spagna Cristina",Amministratore
"BF SPA ","Locatelli Rossella",Presidente
,"Vecchioni Federico","Amministratore Delegato"
,"Grilli Vittorio",Amministratore
,"Scordamaglia Luigi Pio",Amministratore
,"Di Stefano Pierpaolo",Amministratore
,"Colombo Mario",Amministratore
,"Fantolino Gabriella",Amministratore
,"Olivieri Tiziana",Amministratore
,"Bignami Andrea",Amministratore
,"Finocchi Mahne Cristina",Amministratore
,"Lelli Gianluca",Amministratore
"BIALETTI INDUSTRIE SPA ","Ranzoni Francesco",Presidente
,"Cozzi Egidio","Amministratore Delegato"
,"Crespi Elena",Amministratore
,"Frau Carlo Francesco",Amministratore
,"Timpani Aniello Ciro",Amministratore
,"Spadari Anna Luisa",Amministratore
"BIANCAMANO SPA ","Pizzimbone Giovanni Battista","Presidente e Amministratore Delegato"
,"Biassoni Barbara",Amministratore
,"Petrone Paola Annamaria",Amministratore
,"Porro Ezio",Amministratore
,"Conti Giovanni Maria",Amministratore
"BIESSE SPA ","Selci Giancarlo",Presidente
,"Selci Roberto","Amministratore Delegato"
,"Parpajola Alessandra",Amministratore
,"Porcellini Stefano",Amministratore
,"Chiura Giovanni",Amministratore
,"Palazzi Federica",Amministratore
,"Righini Elisabetta",Amministratore
,"Vanini Silvia",Amministratore
"BIOERA SPA ","Garnero Santanche' Daniela",Presidente
,"Mazzaro Canio Giovanni","Amministratore Delegato"
,"Garnero Fiorella",Amministratore
,"Berton Gianni",Amministratore
,"Mentegazza Davide",Amministratore
"BORGOSESIA SPA ","Girardi Mauro","Presidente e Amministratore Delegato"
,"Tua Gabriella",Amministratore
,"Zanelli Andrea",Amministratore
,"Rampinelli Rota Bartolomeo",Amministratore
,"Schiffer Davide",Amministratore
,"Picchi Nicla",Amministratore
,"Baj Emanuela",Amministratore
,"Genoni Matteo",Amministratore
"BPER BANCA SPA ","Ferrari Pietro",Presidente
,"Capponcelli Giuseppe","Vice Presidente"
,"Vandelli Alessandro","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Foti Alessandro Robin",Amministratore
,"Venturelli Valeria",Amministratore
,"Marracino Roberta",Amministratore
,"Pappalardo Marisa",Amministratore
,"Belcredi Massimo",Amministratore
,"Moro Ornella Rita Lucia",Amministratore
,"Barbieri Riccardo","Amministratore e Componente del Comitato Esecutivo"
,"Gualandri Elisabetta",Amministratore
,"Schiavini Rossella","Amministratore e Componente del Comitato Esecutivo"
,"Noera Mario","Amministratore e Componente del Comitato Esecutivo"
,"Camagni Luciano Filippo","Amministratore e Componente del Comitato Esecutivo"
,"Bernardini Mara",Amministratore
"BREMBO SPA - FRENI BREMBO ","Bombassei Alberto",Presidente
,"Tiraboschi Matteo","Vice Presidente"
,"Schillaci Daniele","Amministratore Delegato"
,"Bombassei Cristina",Amministratore
,"Rocca Gianfelice",Amministratore
,"Cioli Laura",Amministratore
,"Canavotto Giovanni",Amministratore
,"Giadrossi Nicoletta",Amministratore
,"Borra Barbara",Amministratore
,"Nicodano Umberto Carlo Maria",Amministratore
,"Battista Valerio",Amministratore
"BRIOSCHI SVILUPPO IMMOBILIARE SPA ","Pezzoli Luigi Arcangelo",Presidente
,"Cabassi Matteo Giuseppe","Amministratore Delegato"
,"Vacca Silvia",Amministratore
,"Nyquist Anna Elisabet",Amministratore
,"Lanza Marco Abramo",Amministratore
,"Conti Daniele",Amministratore
,"Salerno Mariateresa Diana",Amministratore
"BRUNELLO CUCINELLI SPA ","Cucinelli Brunello","Presidente e Amministratore Delegato"
,"Pontremoli Andrea",Amministratore
,"Lisandroni Luca",Amministratore
,"Ciarapica Moreno",Amministratore
,"Bergami Massimo",Amministratore
